"","pitch_type","whiff","swing","estimated_woba_using_speedangle","release_speed","pfx_x","pfx_z"
"389","FC",0,1,NA,85.6,-0.09,0.78
"390","SV",1,1,NA,84.2,1.11,0.2
"391","SL",1,1,NA,90.2,-0.35,0.4
"392","FC",0,0,NA,95.3,0.21,1.25
"393","SL",0,0,NA,90.3,-0.29,0.32
"394","SL",0,0,NA,85.9,0.61,-0.34
"395","SL",0,1,0.019,86.3,0.2,0.15
"396","SL",0,1,NA,75.4,0.21,-0.24
"397","KC",0,0,NA,83.7,0.33,-0.85
"398","FC",1,1,NA,84.9,0.06,0.64
"399","KC",0,1,NA,78.6,1.07,-1.03
"400","FC",0,0,NA,94.9,0.27,0.76
"401","CU",1,1,NA,77.9,0.98,-1.44
"402","SL",0,0,NA,86.7,0.26,0.34
"403","KC",0,1,NA,83.8,0.31,-0.96
"404","SL",0,0,NA,90.1,-0.11,0.89
"405","FC",0,1,NA,92.1,0.4,0.38
"406","SL",0,1,NA,84,0.19,0.2
"407","FC",0,1,0.105,85.9,0.07,0.71
"408","FC",0,0,NA,86.3,0.22,0.72
"409","CU",0,0,NA,74.1,0.71,-0.99
"410","SL",0,0,NA,84.6,0.67,0.22
"411","CU",0,0,NA,77.6,0.9,-1.31
"412","CU",0,1,0.113,79.6,1.44,0.23
"413","SL",0,1,0.507,92.1,0.19,0.4
"414","SV",0,0,NA,84.9,1.13,-0.02
"415","SL",0,0,NA,87.9,0.47,0.17
"416","SL",1,1,NA,78.4,0.3,-0.06
"417","FC",0,1,NA,86.3,0.61,0.55
"418","CU",0,0,NA,81.8,1.2,-0.08
"419","SL",0,0,NA,90,-0.03,0.13
"420","CU",0,0,NA,82.9,0.43,-0.87
"421","CU",0,0,NA,78.5,0.87,-1.45
"422","FC",0,0,NA,89.3,0.09,0.95
"423","SL",0,0,NA,91.2,0.06,0.34
"424","SL",0,0,NA,88.4,0.15,1.35
"425","FC",0,0,NA,85.2,0.06,0.54
"426","SL",0,1,NA,86.4,0.25,0.06
"427","FC",0,1,NA,93.4,0.72,0.78
"428","CU",0,0,NA,81.8,0.41,-0.91
"429","FC",0,1,NA,86.6,0.45,0.55
"430","FC",0,0,NA,80.2,0.36,-0.34
"431","SL",0,0,NA,86.5,0.32,0.17
"432","SL",0,0,NA,87.6,-0.2,0.5
"433","SL",0,1,0.051,84.3,0.34,-0.11
"434","CU",0,0,NA,72.3,0.91,-0.92
"435","CU",1,1,NA,81.1,1,-0.73
"436","SL",0,0,NA,84.6,0.35,-0.38
"437","SL",1,1,NA,84.7,0.49,0.55
"438","FC",1,1,NA,88.8,0.19,0.24
"439","KC",0,1,NA,77.4,1.53,-0.83
"440","SL",0,0,NA,85.5,0.32,0.26
"441","FC",0,0,NA,89.3,0.47,0.41
"442","FC",0,0,NA,95.9,0.04,1.07
"443","SL",0,0,NA,82.6,0.47,0.25
"444","FC",0,0,NA,84.3,0.26,0.7
"445","SL",0,0,NA,90.4,-0.42,0.35
"446","KC",1,1,NA,80.3,0.48,-1.66
"447","SL",0,0,NA,88.3,0.28,0.11
"448","CU",0,1,NA,83.3,0.53,-0.92
"449","KC",0,0,NA,78.3,1.12,-1.04
"450","CU",0,1,NA,76.3,0.96,-1.15
"451","SL",0,0,NA,79.2,0.69,0.25
"452","SL",1,1,NA,88.2,-0.03,0.55
"453","SL",0,0,NA,92.2,0.11,0.45
"454","SL",0,0,NA,85.1,0.25,-0.16
"455","FC",1,1,NA,90.2,0.35,0.53
"456","SL",0,0,NA,83.8,0.26,0.22
"457","SV",0,0,NA,77.3,1.73,-0.06
"458","SL",0,1,0.577,81.1,0.24,0.25
"459","CU",0,1,0.009,74,1.11,-0.79
"460","SL",0,0,NA,86.9,0.33,0.02
"461","SL",0,1,0.16,90.3,0.29,0.05
"462","SL",0,0,NA,87.9,-0.55,0.28
"463","CU",0,0,NA,80.7,0.82,-1.48
"464","CU",0,0,NA,80.1,0.45,-0.19
"465","FC",0,0,NA,93.9,0.1,1.21
"466","FC",0,1,0.007,85.8,0.48,0.49
"467","SL",0,0,NA,90.3,1.17,0.21
"468","SL",0,0,NA,89.3,0.39,0.29
"469","FC",0,1,NA,85.8,0.48,0.94
"470","FC",1,1,NA,88.8,0.15,0.58
"471","KC",0,1,NA,77.4,1.43,-0.92
"472","CU",0,0,NA,80.5,0.73,-1.49
"473","SL",0,1,0.979,88.3,0.31,0.17
"474","SL",0,0,NA,88.5,0.51,0.37
"475","FC",0,1,NA,85.8,-0.32,1.08
